reminder,source,hadith,category
Avoid backbiting today 2,Sahih Bukhari,"The believer is not one who eats his fill while his neighbor goes hungry.",Speech
Say 'La ilaha illallah' with sincerity,Sahih Muslim,"The best remembrance is La ilaha illallah.",Dhikr
"Avoid arguing, even if you are right",Sahih Tirmidhi,"I guarantee a house in Paradise for one who gives up arguing, even if he is right.",Character
Say something nice or stay silent,Sahih Bukhari,"Let him who believes in Allah and the Last Day speak good, or keep silent.",Speech
Make someone laugh today (without mocking),Sahih Muslim,"Smiling in the face of your brother is charity.",Kindness
Say 'SubhanAllah' 33 times today,Sahih Bukhari,"Two words that are light on the tongue, heavy on the scales.",Dhikr
Forgive someone in your heart,Sahih Muslim,"Be merciful to others and you will receive mercy.",Character
Be patient with someone who annoys you,Sahih Muslim,"No one can be given a blessing better than patience.",Character
Visit or call a family member,Sahih Muslim,"Whoever wishes to have his rizq increased should maintain ties of kinship.",Family
Send peace and blessings upon the Prophet ﷺ,Sahih Muslim,"Whoever sends blessings upon me once, Allah will send blessings upon him ten times.",Dhikr
Pick up trash from the road,Sahih Muslim,"Removing harmful things from the road is charity.",Kindness
Be kind to your parents today,Sahih Bukhari,"Paradise lies at the feet of your mother.",Family
Smile to your brother,Sahih Muslim,"Smiling in the face of your brother is charity.",Kindness
Give a sincere compliment to someone,Sahih Muslim,"A good word is charity.",Speech
Help someone carry something,Sahih Muslim,"Helping someone with their load is charity.",Kindness
Say Salam to those you know and don't know,Sahih Bukhari,"Spread peace among yourselves.",Speech
Give a small amount of charity,Sahih Bukhari,"Charity does not decrease wealth.",Charity
Say 'Alhamdulillah' after sneezing,Sahih Bukhari,"When one of you sneezes, let him say Alhamdulillah.",Dhikr
Make dua for someone without them knowing,Sahih Muslim,"The supplication of a Muslim for his brother in his absence is answered.",Dhikr
Say 'Astaghfirullah' often,Sahih Muslim,"Seek forgiveness from Allah, for I seek forgiveness from Him one hundred times a day.",Dhikr`
